Ranked lowest to highest. 1000 hands
82: 10 286QA 992 subtotal = 1831473
83: 10 T5Q64 569 subtotal = 1878700
84: 10 J8946 933 subtotal = 1957072
85: 10 JQ35K 340 subtotal = 1985972
86: 10 A283T 861 subtotal = 2060018
87: 10 A3J2T 296 subtotal = 2085770
88: 10 6T253 375 subtotal = 2118770
89: 10 7953T 438 subtotal = 2157752
90: 10 7AK35 344 subtotal = 2188712
91: 10 87542 112 subtotal = 2198904
92: 10 A8Q72 731 subtotal = 2266156
93: 10 A8T65 846 subtotal = 2344834
94: 10 68573 881 subtotal = 2427648
95: 10 K6A58 164 subtotal = 2443228
96: 10 8KT2J 539 subtotal = 2494972
97: 10 86J4K 549 subtotal = 2548225
98: 10 TJA73 977 subtotal = 2643971
99: 10 T5324 412 subtotal = 2684759
100: 10 69K8A 4 subtotal = 2685159
101: 10 56T8Q 766 subtotal = 2762525
102: 10 832TJ 663 subtotal = 2830151
103: 10 2T657 719 subtotal = 2904208
104: 10 2436K 66 subtotal = 2911072
105: 10 T5AJ9 396 subtotal = 2952652
106: 10 TQ623 672 subtotal = 3023884
107: 10 392TK 885 subtotal = 3118579
108: 10 T2A7Q 913 subtotal = 3217183
109: 10 6J7AQ 607 subtotal = 3283346
110: 10 86A43 824 subtotal = 3373986
111: 10 9345Q 52 subtotal = 3379758
112: 10 64AK9 423 subtotal = 3427134
113: 10 KAJ2Q 56 subtotal = 3433462
114: 10 48K9Q 993 subtotal = 3546664
115: 10 259K4 264 subtotal = 3577024
116: 10 KQTJ4 238 subtotal = 3604632
117: 10 9A384 700 subtotal = 3686532
118: 10 QT6J8 294 subtotal = 3721224
119: 10 2T79Q 446 subtotal = 3774298
120: 10 4K6Q5 212 subtotal = 3799738
121: 10 935T4 276 subtotal = 3833134
122: 10 K7623 293 subtotal = 3868880
123: 10 A46TQ 27 subtotal = 3872201
124: 10 52A4T 169 subtotal = 3893157
125: 10 Q23K8 825 subtotal = 3996282
126: 10 QA8J7 687 subtotal = 4082844
127: 10 8Q732 269 subtotal = 4117007
128: 10 6T7KA 779 subtotal = 4216719
129: 10 T5KQJ 959 subtotal = 4340430
130: 10 5KT49 295 subtotal = 4378780
131: 10 3AJ86 930 subtotal = 4500610
132: 10 Q673A 939 subtotal = 4624558
133: 10 QA2K6 554 subtotal = 4698240
134: 10 J2T56 884 subtotal = 4816696
135: 10 46J72 369 subtotal = 4866511
136: 10 K2365 472 subtotal = 4930703
137: 10 AK4T3 223 subtotal = 4961254
138: 10 TQ85K 55 subtotal = 4968844
139: 10 JQ254 668 subtotal = 5061696
140: 10 T89A7 727 subtotal = 5163476
141: 10 TKAQ9 267 subtotal = 5201123
142: 10 4J6KA 571 subtotal = 5282205
143: 10 T3A84 870 subtotal = 5406615
144: 10 93QK6 488 subtotal = 5476887
145: 10 A39JQ 392 subtotal = 5533727
146: 10 964QT 720 subtotal = 5638847
147: 10 7K4Q6 466 subtotal = 5707349
148: 10 Q8KJ5 732 subtotal = 5815685
149: 10 J3TQ6 619 subtotal = 5907916
150: 10 7JA28 331 subtotal = 5957566
151: 10 7Q82J 22 subtotal = 5960888
152: 10 AJ543 39 subtotal = 5966816
153: 10 J6K25 581 subtotal = 6055709
154: 10 8J6T2 420 subtotal = 6120389
155: 10 JQT62 3 subtotal = 6120854
156: 10 65QJ8 705 subtotal = 6230834
157: 10 Q3KA7 141 subtotal = 6252971
158: 10 9KJ76 979 subtotal = 6407653
159: 10 A8Q6T 828 subtotal = 6539305
160: 10 539A4 927 subtotal = 6687625
161: 10 A98TQ 590 subtotal = 6782615
162: 10 8Q235 445 subtotal = 6854705
163: 10 28T43 726 subtotal = 6973043
164: 10 7Q3K8 121 subtotal = 6992887
165: 10 5A6K4 236 subtotal = 7031827
166: 10 Q5A24 684 subtotal = 7145371
167: 10 J7TQ9 33 subtotal = 7150882
168: 10 92T3Q 454 subtotal = 7227154
169: 10 8A27K 735 subtotal = 7351369
170: 10 5T487 88 subtotal = 7366329
171: 10 89A3T 693 subtotal = 7484832
172: 10 65732 556 subtotal = 7580464
173: 10 97853 333 subtotal = 7638073
174: 10 3Q274 51 subtotal = 7646947
175: 10 23AK5 926 subtotal = 7808997
176: 10 34982 639 subtotal = 7921461
177: 10 2T965 997 subtotal = 8097930
178: 10 74238 1 subtotal = 8098108
179: 10 A5T29 384 subtotal = 8166844
180: 10 Q7958 640 subtotal = 8282044
181: 10 5A9J8 190 subtotal = 8316434
182: 10 J45K2 691 subtotal = 8442196
183: 10 J2873 209 subtotal = 8480443
184: 10 3896Q 918 subtotal = 8649355
185: 10 5KJ47 548 subtotal = 8750735
186: 10 JK328 214 subtotal = 8790539
187: 10 3QT47 516 subtotal = 8887031
188: 10 72TA9 486 subtotal = 8978399
189: 10 K52QT 688 subtotal = 9108431
190: 10 K48Q2 648 subtotal = 9231551
191: 10 9Q5T4 80 subtotal = 9246831
192: 10 89QA6 6 subtotal = 9247983
193: 10 A3876 467 subtotal = 9338114
194: 10 K264Q 948 subtotal = 9522026
195: 10 43TK7 753 subtotal = 9668861
196: 20 TT825 817 subtotal = 9828993
197: 20 79422 721 subtotal = 9971030
198: 20 57T79 415 subtotal = 10053200
199: 20 3K66J 681 subtotal = 10188719
200: 20 ATT26 911 subtotal = 10370919
201: 20 K4426 990 subtotal = 10569909
202: 20 8J285 49 subtotal = 10579807
203: 20 J7292 345 subtotal = 10649842
204: 20 QJA2A 544 subtotal = 10760818
205: 20 TJ5QT 479 subtotal = 10859013
206: 20 6986K 664 subtotal = 10995797
207: 20 266QJ 288 subtotal = 11055413
208: 20 2A343 133 subtotal = 11083077
209: 20 2K2Q9 5 subtotal = 11084122
210: 20 TT658 511 subtotal = 11191432
211: 20 3A623 745 subtotal = 11348627
212: 20 6J263 60 subtotal = 11361347
213: 20 A3448 498 subtotal = 11467421
214: 20 6JQ33 253 subtotal = 11521563
215: 20 QAKKJ 453 subtotal = 11618958
216: 20 AAJ45 761 subtotal = 11783334
217: 20 JA6J4 553 subtotal = 11903335
218: 20 9J7AJ 436 subtotal = 11998383
219: 20 KQTT4 82 subtotal = 12016341
220: 20 6JQAJ 931 subtotal = 12221161
221: 20 8QA87 777 subtotal = 12392878
222: 20 3K398 307 subtotal = 12461032
223: 20 85232 839 subtotal = 12648129
224: 20 A5AQ3 16 subtotal = 12651713
225: 20 9JTT8 53 subtotal = 12663638
226: 20 JQ6TJ 343 subtotal = 12741156
227: 20 A4Q24 380 subtotal = 12827416
228: 20 QT24T 34 subtotal = 12835168
229: 20 9J36J 921 subtotal = 13046077
230: 20 55J93 847 subtotal = 13240887
231: 20 A848T 641 subtotal = 13388958
232: 20 9924Q 871 subtotal = 13591030
233: 20 96567 165 subtotal = 13629475
234: 20 5JQ3Q 962 subtotal = 13854583
235: 20 9TAA6 362 subtotal = 13939653
236: 20 T4834 895 subtotal = 14150873
237: 20 7QQ59 886 subtotal = 14360855
238: 20 A3QA8 971 subtotal = 14591953
239: 20 8T2J2 72 subtotal = 14609161
240: 20 K2AAT 742 subtotal = 14787241
241: 20 J699T 61 subtotal = 14801942
242: 20 696J4 983 subtotal = 15039828
243: 20 239Q2 386 subtotal = 15133626
244: 20 72J7T 938 subtotal = 15362498
245: 20 JKK3A 696 subtotal = 15533018
246: 20 53TJ5 480 subtotal = 15651098
247: 20 6T2JT 923 subtotal = 15879079
248: 20 87T86 706 subtotal = 16054167
249: 20 8T98J 980 subtotal = 16298187
250: 20 97457 268 subtotal = 16365187
251: 20 79743 529 subtotal = 16497966
252: 20 9J594 215 subtotal = 16552146
253: 20 96J2J 349 subtotal = 16640443
254: 20 9588J 254 subtotal = 16704959
255: 20 3K3T2 145 subtotal = 16741934
256: 20 J9585 175 subtotal = 16786734
257: 20 32J77 966 subtotal = 17034996
258: 20 2JQTT 942 subtotal = 17278032
259: 20 K5997 638 subtotal = 17443274
260: 20 6652A 799 subtotal = 17651014
261: 20 33265 125 subtotal = 17683639
262: 20 AJJ95 795 subtotal = 17891929
263: 20 J2QQ4 729 subtotal = 18083656
264: 20 25K24 858 subtotal = 18310168
265: 20 78A4A 838 subtotal = 18532238
266: 20 86348 274 subtotal = 18605122
267: 20 8TJ4J 614 subtotal = 18769060
268: 20 KK2JT 328 subtotal = 18856964
269: 20 7QJQ9 494 subtotal = 18989850
270: 20 3A24A 610 subtotal = 19154550
271: 20 75882 815 subtotal = 19375415
272: 20 99TA3 491 subtotal = 19508967
273: 20 8JT28 585 subtotal = 19668672
274: 20 7JA8J 251 subtotal = 19737446
275: 20 668Q2 822 subtotal = 19963496
276: 20 J3352 138 subtotal = 20001584
277: 20 687K8 230 subtotal = 20065294
278: 20 75583 411 subtotal = 20179552
279: 20 A74A2 431 subtotal = 20299801
280: 20 77836 792 subtotal = 20521561
281: 20 8799J 202 subtotal = 20578323
282: 20 45Q4A 837 subtotal = 20814357
283: 20 2J6J7 200 subtotal = 20870957
284: 20 Q2AAT 973 subtotal = 21147289
285: 20 2488Q 598 subtotal = 21317719
286: 20 5J7J2 186 subtotal = 21370915
287: 20 JA525 808 subtotal = 21602811
288: 20 6TQ5Q 865 subtotal = 21851931
289: 20 24337 183 subtotal = 21904818
290: 20 563KK 565 subtotal = 22068668
291: 20 22QA3 152 subtotal = 22112900
292: 20 K85KT 527 subtotal = 22266784
293: 20 JTA8A 314 subtotal = 22358786
294: 20 9972A 767 subtotal = 22584284
295: 20 QJ3QK 784 subtotal = 22815564
296: 20 4996T 255 subtotal = 22891044
297: 20 KT54K 987 subtotal = 23184183
298: 20 592T5 873 subtotal = 23444337
299: 20 74462 111 subtotal = 23477526
300: 20 JAJ43 848 subtotal = 23731926
301: 20 QJKTT 216 subtotal = 23796942
302: 20 8AA94 356 subtotal = 23904454
303: 20 23Q25 461 subtotal = 24044137
304: 20 J4939 752 subtotal = 24272745
305: 20 8JQQ4 773 subtotal = 24508510
306: 20 99J76 204 subtotal = 24570934
307: 20 QK227 620 subtotal = 24761274
308: 20 969KT 13 subtotal = 24765278
309: 20 QJQTK 651 subtotal = 24966437
310: 20 3ATA6 474 subtotal = 25113377
311: 20 74A22 508 subtotal = 25271365
312: 20 KJ27J 674 subtotal = 25481653
313: 20 J8T99 280 subtotal = 25569293
314: 20 75687 716 subtotal = 25794117
315: 20 J66K5 240 subtotal = 25869717
316: 20 94JQ9 897 subtotal = 26153169
317: 20 K5TK3 391 subtotal = 26277116
318: 20 8TK44 628 subtotal = 26476820
319: 20 3J474 856 subtotal = 26749884
320: 20 J3QJ2 709 subtotal = 26976764
321: 20 727QJ 599 subtotal = 27169043
322: 20 Q2Q63 243 subtotal = 27247289
323: 20 578J7 406 subtotal = 27378427
324: 20 6K675 385 subtotal = 27503167
325: 20 K6944 940 subtotal = 27808667
326: 20 2A85A 853 subtotal = 28086745
327: 20 J339A 953 subtotal = 28398376
328: 20 8J48T 849 subtotal = 28676848
329: 20 78A67 92 subtotal = 28707116
330: 20 49T92 81 subtotal = 28733846
331: 20 KQQ9J 606 subtotal = 28934432
332: 20 8J363 678 subtotal = 29159528
333: 20 J99AT 410 subtotal = 29296058
334: 20 JJ4QK 711 subtotal = 29533532
335: 20 8J99K 483 subtotal = 29695337
336: 20 989AJ 229 subtotal = 29772281
337: 20 3J59J 265 subtotal = 29861586
338: 20 J4874 680 subtotal = 30091426
339: 20 J2TT5 783 subtotal = 30356863
340: 20 9896J 608 subtotal = 30563583
341: 20 JA3TT 612 subtotal = 30772275
342: 20 98TJJ 497 subtotal = 30942249
343: 20 TATJ6 364 subtotal = 31067101
344: 20 QJJT2 662 subtotal = 31294829
345: 20 8J2A8 403 subtotal = 31433864
346: 20 66T4J 137 subtotal = 31481266
347: 20 5Q3T5 782 subtotal = 31752620
348: 20 64AA3 330 subtotal = 31867460
349: 20 A3Q8Q 749 subtotal = 32128861
350: 20 K7KJ8 757 subtotal = 32393811
351: 20 58892 654 subtotal = 32623365
352: 20 8KAAJ 448 subtotal = 32781061
353: 20 TA774 419 subtotal = 32928968
354: 20 J8A83 925 subtotal = 33256418
355: 20 2TJ5J 514 subtotal = 33438888
356: 20 43A3J 907 subtotal = 33761780
357: 20 QJ575 577 subtotal = 33967769
358: 20 3QQ45 889 subtotal = 34286031
359: 20 48493 106 subtotal = 34324085
360: 20 34Q38 132 subtotal = 34371605
361: 20 A963A 321 subtotal = 34487486
362: 20 A92JA 919 subtotal = 34820164
363: 20 5887J 803 subtotal = 35111653
364: 20 T2556 199 subtotal = 35184089
365: 20 JT6QT 586 subtotal = 35397979
366: 20 T2866 224 subtotal = 35479963
367: 20 37QTQ 575 subtotal = 35690988
368: 20 9K692 366 subtotal = 35825676
369: 20 J7J9Q 79 subtotal = 35854827
370: 20 QQJ47 94 subtotal = 35889607
371: 20 J4272 187 subtotal = 35958984
372: 20 89T49 794 subtotal = 36254352
373: 20 T8JQJ 937 subtotal = 36603853
374: 20 J7743 414 subtotal = 36758689
375: 20 J4TT2 502 subtotal = 36946939
376: 20 8QA5A 416 subtotal = 37103355
377: 20 T3J9T 291 subtotal = 37213062
378: 20 6QJ2Q 769 subtotal = 37503744
379: 20 278A7 18 subtotal = 37510566
380: 20 973K9 24 subtotal = 37519686
381: 20 3J959 655 subtotal = 37769241
382: 20 J7J24 363 subtotal = 37907907
383: 20 T5AAQ 435 subtotal = 38074512
384: 20 882J9 909 subtotal = 38423568
385: 20 T43KT 322 subtotal = 38547538
386: 20 JK4TT 915 subtotal = 38900728
387: 20 785Q8 139 subtotal = 38954521
388: 20 794A4 400 subtotal = 39109721
389: 20 A29KK 371 subtotal = 39254040
390: 20 A8A46 708 subtotal = 39530160
391: 20 T345T 555 subtotal = 39747165
392: 20 K2449 888 subtotal = 40095261
393: 20 K279K 632 subtotal = 40343637
394: 20 T5T6J 231 subtotal = 40434651
395: 20 465T4 283 subtotal = 40546436
396: 20 J8779 218 subtotal = 40632764
397: 20 4T23T 642 subtotal = 40887638
398: 20 J3893 101 subtotal = 40927836
399: 20 QJ656 536 subtotal = 41141700
400: 20 8K2A2 118 subtotal = 41188900
401: 20 52Q28 136 subtotal = 41243436
402: 20 4J47Q 616 subtotal = 41491068
403: 20 83J82 157 subtotal = 41554339
404: 20 83499 740 subtotal = 41853299
405: 20 7Q5Q6 671 subtotal = 42125054
406: 20 664T5 512 subtotal = 42332926
407: 20 8T24T 760 subtotal = 42642246
408: 20 8JT83 611 subtotal = 42891534
409: 20 88QTJ 360 subtotal = 43038774
410: 20 Q272J 841 subtotal = 43383584
411: 20 96862 883 subtotal = 43746497
412: 20 9J636 650 subtotal = 44014297
413: 20 AQAK6 579 subtotal = 44253424
414: 20 A384A 424 subtotal = 44428960
415: 20 9TT7J 627 subtotal = 44689165
416: 20 Q598Q 562 subtotal = 44922957
417: 20 736JJ 789 subtotal = 45251970
418: 20 92652 733 subtotal = 45558364
419: 20 2962T 408 subtotal = 45729316
420: 20 232TJ 159 subtotal = 45796096
421: 20 KTJT9 854 subtotal = 46155630
422: 20 AQQ49 887 subtotal = 46529944
423: 20 9886A 447 subtotal = 46719025
424: 20 Q2AQJ 69 subtotal = 46748281
425: 20 QQ359 558 subtotal = 46985431
426: 20 5KQ7Q 26 subtotal = 46996507
427: 20 59563 373 subtotal = 47155778
428: 20 5A653 126 subtotal = 47209706
429: 20 78944 636 subtotal = 47482550
430: 20 2J62A 241 subtotal = 47586180
431: 20 454Q7 430 subtotal = 47771510
432: 20 46947 311 subtotal = 47905862
433: 20 KK783 292 subtotal = 48032298
434: 20 K8TT3 673 subtotal = 48324380
435: 20 98395 390 subtotal = 48494030
436: 20 28JKK 149 subtotal = 48558994
437: 20 9492K 597 subtotal = 48819883
438: 30 TTKK3 526 subtotal = 49050271
439: 30 A66AQ 471 subtotal = 49257040
440: 30 QJJQA 365 subtotal = 49417640
441: 30 K9K92 495 subtotal = 49635935
442: 30 AK3KA 547 subtotal = 49877709
443: 30 73667 394 subtotal = 50052251
444: 30 Q4JQ4 826 subtotal = 50418995
445: 30 655A6 95 subtotal = 50461270
446: 30 KK644 659 subtotal = 50755184
447: 30 AQTAT 36 subtotal = 50771276
448: 30 Q3223 764 subtotal = 51113548
449: 30 5566J 54 subtotal = 51137794
450: 30 4QQ47 634 subtotal = 51423094
451: 30 K533K 122 subtotal = 51478116
452: 30 93669 542 subtotal = 51723100
453: 30 Q9595 667 subtotal = 52025251
454: 30 363QQ 282 subtotal = 52153279
455: 30 558J8 443 subtotal = 52354844
456: 30 44337 540 subtotal = 52601084
457: 30 2Q662 532 subtotal = 52844208
458: 30 KQQ55 232 subtotal = 52950464
459: 30 27575 622 subtotal = 53235962
460: 30 93838 270 subtotal = 53360162
461: 30 Q5Q52 10 subtotal = 53364772
462: 30 KKQ6Q 500 subtotal = 53595772
463: 30 Q65Q6 31 subtotal = 53610125
464: 30 K377K 28 subtotal = 53623117
465: 30 77866 972 subtotal = 54075097
466: 30 7T76T 635 subtotal = 54371007
467: 30 Q667Q 102 subtotal = 54418641
468: 30 64463 123 subtotal = 54476205
469: 30 99TTK 104 subtotal = 54524981
470: 30 KQQAK 180 subtotal = 54609581
471: 30 AAT8T 903 subtotal = 55034894
472: 30 KJJ5K 100 subtotal = 55082094
473: 30 9977Q 465 subtotal = 55302039
474: 30 A566A 821 subtotal = 55691193
475: 30 A5A75 252 subtotal = 55810893
476: 30 442T2 116 subtotal = 55866109
477: 30 J6446 896 subtotal = 56293501
478: 30 89489 738 subtotal = 56646265
479: 30 JJ2AA 695 subtotal = 56979170
480: 30 Q664Q 220 subtotal = 57084770
481: 30 55TT2 341 subtotal = 57248791
482: 30 54884 130 subtotal = 57311451
483: 30 A5AJ5 991 subtotal = 57790104
484: 30 4QTTQ 866 subtotal = 58209248
485: 30 T4T88 67 subtotal = 58241743
486: 30 AA2Q2 12 subtotal = 58247575
487: 30 6996Q 624 subtotal = 58551463
488: 30 ATJAT 943 subtotal = 59011647
489: 30 65868 718 subtotal = 59362749
490: 30 QQ323 434 subtotal = 59575409
491: 30 7AA74 347 subtotal = 59745786
492: 30 4TJ4T 855 subtotal = 60166446
493: 30 TJT33 999 subtotal = 60658953
494: 30 24A2A 334 subtotal = 60823949
495: 30 34943 233 subtotal = 60939284
496: 30 3T38T 692 subtotal = 61282516
497: 30 49488 146 subtotal = 61355078
498: 30 KK989 574 subtotal = 61640930
499: 30 99552 660 subtotal = 61970270
500: 30 T8833 877 subtotal = 62408770
501: 30 8AAJ8 802 subtotal = 62810572
502: 30 25J5J 257 subtotal = 62939586
503: 30 29424 131 subtotal = 63005479
504: 30 4499A 520 subtotal = 63267559
505: 30 66KK7 564 subtotal = 63552379
506: 30 898JJ 746 subtotal = 63929855
507: 30 37437 41 subtotal = 63950642
508: 30 T6T99 723 subtotal = 64317926
509: 30 JT4TJ 327 subtotal = 64484369
510: 30 484T8 603 subtotal = 64791899
511: 30 5JTJ5 478 subtotal = 65036157
512: 30 Q49Q9 658 subtotal = 65373053
513: 30 K282K 374 subtotal = 65564915
514: 30 95K95 609 subtotal = 65877941
515: 30 778K8 665 subtotal = 66220416
516: 30 474K7 110 subtotal = 66277176
517: 30 JK7K7 813 subtotal = 66697497
518: 30 6886J 179 subtotal = 66790219
519: 30 22A8A 851 subtotal = 67231888
520: 30 226KK 981 subtotal = 67742008
521: 30 445K5 194 subtotal = 67843082
522: 30 57544 492 subtotal = 68099906
523: 30 QAQA7 631 subtotal = 68429919
524: 30 4J64J 367 subtotal = 68622227
525: 30 KQK9Q 949 subtotal = 69120452
526: 30 TK66K 96 subtotal = 69170948
527: 30 7JAJA 775 subtotal = 69579373
528: 30 5ATAT 774 subtotal = 69988045
529: 30 J595J 682 subtotal = 70348823
530: 30 3232J 818 subtotal = 70782363
531: 30 JAQQA 832 subtotal = 71224155
532: 30 4Q88Q 207 subtotal = 71334279
533: 30 66AA2 167 subtotal = 71423290
534: 30 52527 262 subtotal = 71563198
535: 30 K4AAK 656 subtotal = 71914158
536: 30 28844 546 subtotal = 72206814
537: 30 2K7K2 19 subtotal = 72217017
538: 30 36356 306 subtotal = 72381645
539: 30 TKTK5 452 subtotal = 72625273
540: 30 3663J 860 subtotal = 73089673
541: 30 9Q9Q7 134 subtotal = 73162167
542: 30 34483 387 subtotal = 73371921
543: 30 Q73Q3 633 subtotal = 73715640
544: 30 84A8A 522 subtotal = 73999608
545: 30 74QQ7 225 subtotal = 74122233
546: 30 33KJK 237 subtotal = 74251635
547: 30 A66A4 814 subtotal = 74696893
548: 30 2TK2T 244 subtotal = 74830605
549: 30 38KK8 457 subtotal = 75081498
550: 30 KK244 71 subtotal = 75120548
551: 30 K66KJ 47 subtotal = 75146445
552: 30 J63J3 591 subtotal = 75472677
553: 30 44K7K 20 subtotal = 75483737
554: 30 KKQQJ 736 subtotal = 75891481
555: 30 63QQ6 261 subtotal = 76036336
556: 30 8JQ8J 517 subtotal = 76323788
557: 30 95859 210 subtotal = 76440758
558: 30 TKK6T 712 subtotal = 76838054
559: 30 95A9A 57 subtotal = 76869917
560: 30 K8558 46 subtotal = 76895677
561: 30 83866 227 subtotal = 77023024
562: 30 A2A88 14 subtotal = 77030892
563: 30 J7667 748 subtotal = 77452016
564: 30 2JQ2Q 819 subtotal = 77913932
565: 30 55TT4 593 subtotal = 78248977
566: 30 AJATJ 464 subtotal = 78511601
567: 30 J6226 48 subtotal = 78538817
568: 30 66AA9 905 subtotal = 79052857
569: 30 37TT3 154 subtotal = 79140483
570: 30 87722 346 subtotal = 79337703
571: 30 88799 820 subtotal = 79805923
572: 30 99772 289 subtotal = 79971231
573: 30 J844J 456 subtotal = 80232519
574: 30 J9669 994 subtotal = 80803075
575: 30 JJAA9 242 subtotal = 80942225
576: 30 54334 35 subtotal = 80962385
577: 30 7A887 560 subtotal = 81285505
578: 30 66ATT 25 subtotal = 81299955
579: 30 6Q886 924 subtotal = 81834951
580: 30 63763 150 subtotal = 81921951
581: 30 TQT88 172 subtotal = 82021883
582: 30 86383 952 subtotal = 82575947
583: 30 5J44J 891 subtotal = 83095400
584: 30 44998 86 subtotal = 83145624
585: 30 9JQQ9 353 subtotal = 83352129
586: 30 464AA 393 subtotal = 83582427
587: 30 94KK9 418 subtotal = 83827793
588: 30 A443A 63 subtotal = 83864837
589: 30 93392 7 subtotal = 83868960
590: 30 38899 239 subtotal = 84009970
591: 30 TT44K 975 subtotal = 84586195
592: 30 A6996 192 subtotal = 84699859
593: 30 99AA8 326 subtotal = 84893177
594: 30 QJ66Q 15 subtotal = 84902087
595: 30 95898 617 subtotal = 85269202
596: 30 993KK 956 subtotal = 85838978
597: 30 24255 381 subtotal = 86066435
598: 30 JTTKK 74 subtotal = 86110687
599: 30 55TT3 985 subtotal = 86700702
600: 30 3Q4Q4 840 subtotal = 87204702
601: 30 7KJJK 932 subtotal = 87764834
602: 30 92898 578 subtotal = 88112790
603: 30 95QQ5 567 subtotal = 88454691
604: 30 Q88Q3 787 subtotal = 88930039
605: 30 5T22T 601 subtotal = 89293644
606: 30 5KK5T 910 subtotal = 89845104
607: 30 J4334 316 subtotal = 90036916
608: 30 J2KKJ 893 subtotal = 90579860
609: 30 A7JA7 917 subtotal = 91138313
610: 30 77QQT 908 subtotal = 91692193
611: 30 8383J 441 subtotal = 91961644
612: 30 5J252 951 subtotal = 92543656
613: 30 7227J 409 subtotal = 92794373
614: 30 QQ8J8 957 subtotal = 93381971
615: 30 K4K4J 17 subtotal = 93392426
616: 30 A744A 469 subtotal = 93681330
617: 30 T5JT5 730 subtotal = 94131740
618: 30 75857 965 subtotal = 94728110
619: 30 QATQT 339 subtotal = 94937951
620: 30 78487 902 subtotal = 95497191
621: 30 53537 852 subtotal = 96026283
622: 30 AKAJK 128 subtotal = 96105899
623: 30 34488 713 subtotal = 96550098
624: 30 KKQ8Q 287 subtotal = 96729186
625: 30 882KK 300 subtotal = 96916686
626: 30 53445 266 subtotal = 97083202
627: 30 922KK 874 subtotal = 97631200
628: 30 744JJ 87 subtotal = 97685836
629: 30 74745 793 subtotal = 98184633
630: 30 262A6 561 subtotal = 98538063
631: 40 TTTAJ 91 subtotal = 98595484
632: 40 6J669 920 subtotal = 99176924
633: 40 AJ333 504 subtotal = 99495956
634: 40 66856 533 subtotal = 99833878
635: 40 J6999 595 subtotal = 100211703
636: 40 K7767 557 subtotal = 100565955
637: 40 KKK53 780 subtotal = 101062815
